1.513658646027560110e-02,8.715562399431977180e-05,2.051378161129406574e-02,7.505111232364705676e-02,6.556270027091483247e-04,3.174888434127880622e-03,1.010455778956419361e-04,9.954757270677120351e-01,1.295335685335341665e-02,1.497078184341769751e-02
7.627635162509835420e-02,5.068693577514126565e-04,9.273005969211824961e-01,1.031794385123238067e-01,4.604069083381313026e-07,1.414849688404147543e-01,2.362211076773249596e-01,9.397293475617937801e-07,3.167936457328081323e-02,1.500966190900725933e-05
1.921451351578097383e-03,9.564258638902108922e-01,6.421433218612329630e-02,4.171418449542819290e-02,1.193519171495318124e-02,1.892005593204033193e-02,4.630121129503491501e-02,4.407909286744955690e-02,4.615765813507434479e-02,2.067055136342930283e-02
9.589369232182739511e-01,5.807328379023968675e-08,7.123599043387051320e-04,9.561681339638106636e-05,3.402192984175406625e-07,2.008851864766961464e-03,5.583650235722850859e-03,1.346440419070087839e-03,2.132994417915744527e-04,1.266316398387315727e-04
8.265130058305023009e-03,9.771499040137299414e-05,3.873466855393366270e-02,6.800449013088943635e-04,8.877945601092932515e-01,1.323543771282636007e-03,2.054088527614725962e-02,4.145564815551232990e-02,6.668293113175813303e-02,9.377352956658409344e-02
2.722414106748581586e-04,9.665017469250311022e-01,1.727693395247089855e-02,3.114369974837725638e-02,3.569165676710619843e-03,3.466898921629614581e-03,2.517903808263316674e-03,4.158613866445310531e-02,4.465821401854290496e-02,1.881244642858668006e-02
1.273461390535521982e-04,3.389018910304161304e-04,4.915985794273957852e-05,1.087723877882284911e-02,9.447957654305213504e-01,1.697601168247502013e-01,2.383072170622791905e-03,1.761135964422989864e-02,4.435013885583093396e-01,3.233864683507262777e-02
3.892135119750138046e-05,5.953941191760079958e-03,4.438861215541716962e-03,1.484670308013096886e-02,4.728191108403336645e-02,8.758765975207385979e-02,8.364951288038158239e-03,6.584756818690086846e-03,2.012593161471904965e-02,7.680021327913099105e-01
4.698387049298304204e-03,3.336337693950961998e-04,1.677620717046052548e-02,4.646049386865041468e-07,4.390801134942728945e-02,4.779775013304190211e-03,1.281103053461171426e-01,1.519476213766293199e-05,7.514069893265051944e-04,1.070215513374627109e-03
2.839491204083705316e-04,1.275605030341578685e-05,3.297538619383708247e-06,1.741684850276860343e-05,2.818857068580341713e-02,4.797269257053340908e-04,1.918698201347795898e-04,1.082611157985640393e-01,9.625875910574019714e-03,6.080626299800222512e-01
